<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RANGR.US,D,20250116,000000,0.17,0.178,0.158,0.178,637221,0
RANGR.US,D,20250117,000000,0.178,0.18,0.178,0.18,22970,0
RANGR.US,D,20250123,000000,0.1701,0.186,0.17,0.1777,52264,0
RANGR.US,D,20250124,000000,0.186,0.19,0.17,0.1701,47153,0
RANGR.US,D,20250129,000000,0.186,0.2199,0.186,0.2199,268501,0
RANGR.US,D,20250130,000000,0.22,0.22,0.189999,0.1927,776,0
RANGR.US,D,20250131,000000,0.1927,0.2075,0.1927,0.2075,6426,0
RANGR.US,D,20250203,000000,0.22,0.23,0.2,0.23,82300,0
RANGR.US,D,20250204,000000,0.23,0.23,0.222,0.23,1200,0
RANGR.US,D,20250205,000000,0.23,0.23,0.23,0.23,100,0
RANGR.US,D,20250206,000000,0.2252,0.2298,0.2252,0.2274,512,0
